rejection_reason,rejected_record_count,affected_source_files,first_rejected_at,latest_rejected_at
INVALID_PAYMENT_STATUS,240,1,2026-07-29 19:02:43,2026-07-29 19:02:43
INVALID_FEE_AMOUNT,1,1,2026-07-29 19:02:43,2026-07-29 19:02:43
