quality_source,issue_type,issue_count,affected_source_count,first_detected_at,latest_detected_at
rejected_influencer_records,INVALID_PAYMENT_STATUS,240,1,2026-07-29 19:02:43,2026-07-29 19:02:43
rejected_influencer_records,INVALID_FEE_AMOUNT,1,1,2026-07-29 19:02:43,2026-07-29 19:02:43
